Counts_,ICD-9 description_,Subgroups_,ICD-9
15,",Congestive heart failure, unspecified                                                                                           ,",Heart disease,",428.0                                                                                                                           ,"
11,",Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through s,",Heart disease,",404.91                                                                                                                          ,"
11,",Coronary atherosclerosis of unspecified type of vessel, native or graft                                                         ,",Heart disease,",414.00                                                                                                                          ,"
9,",Acute diastolic heart failure                                                                                                   ,",Heart disease,",428.31                                                                                                                          ,"
8,"Paroxysmal ventricular tachycardia                                                                                              ,",Heart disease,",427.1                                                                                                                           ,"
6,",Mechanical complication of other vascular device, implant, and graft                                                            ,",Heart disease,",996.1                                                                                                                           ,"
5,"Aortic valve disorders                                                                                                          ,",Heart disease,",424.1                                                                                                                           ,"
4,",Unspecified essential hypertension                                                                                              ,",Heart disease,",401.9                                                                                                                           ,"
4,",Other chronic pulmonary heart diseases                                                                                          ,",Heart disease,",416.8                                                                                                                           ,"
4,",Atrial flutter                                                                                                                  ,",Heart disease,",427.32                                                                                                                          ,"
4,",Arterial embolism and thrombosis of lower extremity                                                                             ,",Heart disease,",444.22                                                                                                                          ,"
1,",Contusion of heart without mention of open wound into thorax                                                                    ,",heart disease,",861.01                                                                                                                          ,"
1,",Injury to hepatic artery                                                                                                        ,",heart disease,",902.22                                                                                                                          ,"
1,",Other complications due to other cardiac device, implant, and graft                                                             ,",heart disease,",996.72                                                                                                                          ,"
1,",Cardiac complications, not elsewhere classified                                                                                 ,",heart disease,",997.1                                                                                                                           ,"
151,",Unspecified septicemia                                                                                                          ,",Infection,",038.9                                                                                                                           ,"
56,",Urinary tract infection, site not specified                                                                                     ,",Infection,",599.0                                                                                                                           ,"
42,",Pneumonia, organism unspecified                                                                                                 ,",Infection,",486                                                                                                                             ,"
40,",Neutropenia, unspecified                                                                                                        ,",Infection,",288.00                                                                                                                          ,"
37,",Acute pancreatitis                                                                                                              ,",Infection,",577.0                                                                                                                           ,"
35,",Cellulitis and abscess of leg, except foot                                                                                      ,",Infection,",682.6                                                                                                                           ,"
35,",Infection and inflammatory reaction due to indwelling urinary catheter                                                          ,",Infection,",996.64                                                                                                                          ,"
25,",Other postoperative infection                                                                                                   ,",Infection,",998.59                                                                                                                          ,"
24,",Intestinal infection due to Clostridium difficile                                                                               ,",Infection,",008.45                                                                                                                          ,"
21,",Obstructive chronic bronchitis with (acute) exacerbation                                                                        ,",Infection,",491.21                                                                                                                          ,"
18,",Pneumonitis due to inhalation of food or vomitus                                                                                ,",Infection,",507.0                                                                                                                           ,"
12,",Septicemia due to escherichia coli [E. coli]                                                                                    ,",Infection,",038.42                                                                                                                          ,"
10,",Bloodstream infection due to central venous catheter                                                                            ,",Infection,",999.32                                                                                                                          ,"
8,",Acute bronchiolitis due to other infectious organisms                                                                           ,",Infection,",466.19                                                                                                                          ,"
8,",Fever, unspecified                                                                                                              ,",Infection,",780.60                                                                                                                          ,"
7,",Other septicemia due to gram-negative organisms                                                                                 ,",Infection,",038.49                                                                                                                          ,"
7,"Spontaneous bacterial peritonitis                                                                                               ,",Infection,",567.23                                                                                                                          ,"
7,",Infection and inflammatory reaction due to other genitourinary device, implant, and graft                                       ,",Infection,",996.65                                                                                                                          ,"
6,",Septicemia due to gram-negative organism, unspecified                                                                           ,",Infection,",038.40                                                                                                                          ,"
6,",Influenza with pneumonia                                                                                                        ,",Infection,",487.0                                                                                                                           ,"
6,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage                                                       ,",Infection,",535.50                                                                                                                          ,"
6,",Acute alcoholic hepatitis                                                                                                       ,",Infection,",571.1                                                                                                                           ,"
5,",Intestinal infection due to other organism, not elsewhere classified                                                            ,",Infection,",008.8                                                                                                                           ,"
5,",Methicillin susceptible Staphylococcus aureus septicemia                                                                        ,",Infection,",038.11                                                                                                                          ,"
5,",Methicillin resistant Staphylococcus aureus septicemia                                                                          ,",Infection,",038.12                                                                                                                          ,"
5,",Acute upper respiratory infections of unspecified site                                                                          ,",Infection,",465.9                                                                                                                           ,"
5,",Acute appendicitis without mention of peritonitis                                                                               ,",Infection,",540.9                                                                                                                           ,"
5,",Ulcerative colitis, unspecified                                                                                                 ,",Infection,",556.9                                                                                                                           ,"
5,",Chronic pancreatitis                                                                                                            ,",Infection,",577.1                                                                                                                           ,"
5,",Cystitis, unspecified                                                                                                           ,",Infection,",595.9                                                                                                                           ,"
4,",Infectious colitis, enteritis, and gastroenteritis                                                                              ,",Infection,",009.0                                                                                                                           ,"
4,",Other specified septicemias                                                                                                     ,",Infection,",038.8                                                                                                                           ,"
4,",Unspecified viral infection                                                                                                     ,",Infection,",079.99                                                                                                                          ,"
4,",Acute bronchiolitis due to respiratory syncytial virus (RSV)                                                                    ,",Infection,",466.11                                                                                                                          ,"
4,",Pneumonia due to other gram-negative bacteria                                                                                   ,",Infection,",482.83                                                                                                                          ,"
2,",Unspecified infectious and parasitic diseases                                                                                   ,",Infection,",136.9                                                                                                                           ,"
1,",Infection and inflammatory reaction due to cardiac device, implant, and graft                                                   ,",infection,",996.61                                                                                                                          ,"
1,",Infection and inflammatory reaction due to internal joint prosthesis                                                            ,",infection,",996.66                                                                                                                          ,"
1,",Postprocedural aspiration pneumonia                                                                                             ,",infection,",997.32                                                                                                                          ,"
1,",Infection (chronic) of amputation stump                                                                                         ,",infection,",997.62                                                                                                                          ,"
1,",Other and unspecified infection due to central venous catheter                                                                  ,",infection,",999.31                                                                                                                          ,"
1,",Infection following other infusion, injection, transfusion, or vaccination                                                      ,",infection,",999.39                                                                                                                          ,"
1,",Kidney donors                                                                                                                   ,",kidney,",V59.4                                                                                                                           ,"
47,",Acute kidney failure, unspecified                                                                                               ,",Kidney disease,",584.9                                                                                                                           ,"
31,",Complications of transplanted kidney                                                                                            ,",Kidney disease,",996.81                                                                                                                          ,"
13,",Calculus of kidney                                                                                                              ,",Kidney disease,",592.0                                                                                                                           ,"
10,",Urinary complications, not elsewhere classified                                                                                 ,",Kidney disease,",997.5                                                                                                                           ,"
9,"Acute pyelonephritis without lesion of renal medullary necrosis                                                                 ,",Kidney disease,",590.10                                                                                                                          ,"
8,"Pyelonephritis, unspecified                                                                                                     ,",Kidney disease,",590.80                                                                                                                          ,"
7,",Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease                ,",Kidney disease,",403.91                                                                                                                          ,"
6,",Anemia in chronic kidney disease                                                                                                ,",Kidney disease,",285.21                                                                                                                          ,"
5,",Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified          ,",Kidney disease,",403.90                                                                                                                          ,"
13,"Cerebral embolism with cerebral infarction                                                                                      ,",Neuro,",434.11                                                                                                                          ,"
6,"Intracerebral hemorrhage                                                                                                        ,",Neuro,",431                                                                                                                             ,"
6,",Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness                  ,",Neuro,",852.21                                                                                                                          ,"
6,",Hemorrhage complicating a procedure                                                                                             ,",neuro,",998.11                                                                                                                          ,"
5,",Hemorrhage from placenta previa, antepartum condition or complication                                                           ,",Neuro,",641.13                                                                                                                          ,"
3,",Occlusion and stenosis of carotid artery without mention of cerebral infarction                                                 ,",Neuro,",433.10                                                                                                                          ,"
3,",Cerebral aneurysm, nonruptured                                                                                                  ,",Neuro,",437.3                                                                                                                           ,"
2,",Occlusion and stenosis of carotid artery with cerebral infarction                                                               ,",neuro,",433.11                                                                                                                          ,"
2,",Cerebral thrombosis with cerebral infarction                                                                                    ,",neuro,",434.01                                                                                                                          ,"
1,",Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consci,",neuro,",851.80                                                                                                                          ,"
1,",Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of con,",neuro,",852.24                                                                                                                          ,"
1,",Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified durat,",neuro,",852.26                                                                                                                          ,"
1,",Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciou,",neuro,",853.06                                                                                                                          ,"
1,",Other nervous system complications                                                                                              ,",neuro,",997.09                                                                                                                          ,"
1,",Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord)                                               ,",neuro,",V53.02                                                                                                                          ,"
65,",Single liveborn, born in hospital, delivered without mention of cesarean section                                                ,",newborn,",V30.00                                                                                                                          ,"
37,",Single liveborn, born in hospital, delivered by cesarean section                                                                ,",newborn,",V30.01                                                                                                                          ,"
23,",Threatened premature labor, antepartum condition or complication                                                                ,",newborn,",644.03                                                                                                                          ,"
14,",Other current conditions classifiable elsewhere of mother, antepartum condition or complication                                 ,",newborn,",648.93                                                                                                                          ,"
8,",Transient hypertension of pregnancy, antepartum condition or complication                                                       ,",newborn,",642.33                                                                                                                          ,"
5,",Twin birth, mate liveborn, born in hospital, delivered by cesarean section                                                      ,",newborn,",V31.01                                                                                                                          ,"
1,",Twin birth, mate liveborn, born in hospital, delivered without mention of cesarean section                                      ,",newborn,",V31.00                                                                                                                          ,"
1,",Twin birth, mate liveborn, born before admission to hospital                                                                    ,",newborn,",V31.1                                                                                                                           ,"
1,",Twin birth, unspecified whether mate liveborn or stillborn, born in hospital, delivered without mention of cesarean section     ,",newborn,",V33.00                                                                                                                          ,"
36,",Dehydration                                                                                                                     ,",Others,",276.51                                                                                                                          ,"
21,",Acute and chronic respiratory failure                                                                                           ,",Others,",518.84                                                                                                                          ,"
21,",Other chest pain                                                                                                                ,",Others,",786.59                                                                                                                          ,"
20,"Other pulmonary embolism and infarction                                                                                         ,",Others,",415.19                                                                                                                          ,"
20,"Hemorrhage of gastrointestinal tract, unspecified                                                                               ,",Others,",578.9                                                                                                                           ,"
18,",Alcoholic cirrhosis of liver                                                                                                    ,",Others,",571.2                                                                                                                           ,"
15,",Diverticulitis of colon (without mention of hemorrhage)                                                                         ,",Others,",562.11                                                                                                                          ,"
15,"Syncope and collapse                                                                                                            ,",Others,",780.2                                                                                                                           ,"
14,",Cirrhosis of liver without mention of alcohol                                                                                   ,",Others,",571.5                                                                                                                           ,"
13,",Acute myeloid leukemia, without mention of having achieved remission                                                            ,",Others,",205.00                                                                                                                          ,"
12,",Mechanical complication of nervous system device, implant, and graft                                                            ,",Others,",996.2                                                                                                                           ,"
11,",Alcohol withdrawal                                                                                                              ,",Others,",291.81                                                                                                                          ,"
11,"Unspecified pleural effusion                                                                                                    ,",Others,",511.9                                                                                                                           ,"
11,",Constipation, unspecified                                                                                                       ,",Others,",564.00                                                                                                                          ,"
10,",Anemia, unspecified                                                                                                             ,",Others,",285.9                                                                                                                           ,"
10,",Chest pain, unspecified                                                                                                         ,",Others,",786.50                                                                                                                          ,"
9,"Hyposmolality and/or hyponatremia                                                                                               ,",Others,",276.1                                                                                                                           ,"
9,",Acute respiratory failure                                                                                                       ,",Others,",518.81                                                                                                                          ,"
9,",Esophageal reflux                                                                                                               ,",Others,",530.81                                                                                                                          ,"
8,",Alcohol withdrawal delirium                                                                                                     ,",Others,",291.0                                                                                                                           ,"
8,"Subdural hemorrhage                                                                                                             ,",Others,",432.1                                                                                                                           ,"
8,"Angiodysplasia of stomach and duodenum with hemorrhage                                                                          ,",Others,",537.83                                                                                                                          ,"
8,",Calculus of ureter                                                                                                              ,",Others,",592.1                                                                                                                           ,"
8,",Previous cesarean delivery, delivered, with or without mention of antepartum condition                                          ,",Others,",654.21                                                                                                                          ,"
7,",Acute posthemorrhagic anemia                                                                                                    ,",Others,",285.1                                                                                                                           ,"
7,",Regional enteritis of small intestine                                                                                           ,",Others,",555.0                                                                                                                           ,"
7,",Cellulitis and abscess of trunk                                                                                                 ,",Others,",682.2                                                                                                                           ,"
